voter,rawScore
0xb5c9df870c4100c50b45f3377ab93e7054efe94f,29.63
0xf62bdafc4cb3808346c5854c0fd129f2a22c02e0,23.24
0xd5bd6f24f6983c91005eaf1a230b659aedd2bdff,35.24
0xe71fbb197bc8fd11090fa657c100d52dbb407662,53.99
0x3eb429a9448ddf7522b7b78f4155b092d19b84cc,17.51
0x404ffaeaa786d73dc3b978df1faf1d8bb1a22a41,48.6
0xa00cea5c7e01cf4e8564bb1e7a33db0e388b9d35,27.76
0x459e978d5af10211181c5d8e75193170ea1ab89d,25.78
0x51f81638e6b9a75a803423f755e1126bc90c9eb1,0.0
0x5189bd02e3631c29bf3b49c4a92c9ae6ccc2c8a8,32.11
0xab51ad23d222fd0afb4e29f3244402af9aa3c420,38.5
0xb2fe5c3c7231b1117da36e7b29731693fbbc6f7a,36.56
0x82c6fa9450453f2c80a9b98da540c76fa15bdd9c,27.66
0xd97be04b87234d9aa0afca16b6da94bb2a6755ea,23.25
0xb6475a665b36560836271409d78993191731d83a,15.56
0xee48066a16e94cbf9636fd8c385ffb1f8164734a,18.25
0x013b0e9899fb3275a50ae7ff3feb44fb79553694,21.8
0xaa71d845e6da88069f69e56be7421a77e2fa87b2,26.58
0x1b7c31284cc315e404e75d00aecb785ee461539e,29.73
0x8671d975bdfb10aa1bbfabeaaf4bff955faa5c0a,15.64
0x2e2316088c015f4bf27d86a1458a707af536a324,20.43
0xedc84baf9173a6f2aef32ce724d2568dd1ac794f,24.71
